yyyymmdd,lat,long,station_id,acton_id,station_name,elevation,wteq_amt,wteq_med,wteq_amt_pct_med,prec_wytd_amt,prec_wytd_avg,prec_wytd_pctavg,BIG AND LITTLE LOST BASINS,BIG AND LITTLE WOOD BASINS,BITTERROOT,"CHELAN, ENTIAT, WENATCHEE",CLEARWATER AND SALMON,COLUMBIA ABOVE METHOW,"DESCHUTES, CROOKED, JOHN DAY",FLATHEAD RIVER BASIN,"GRAND RONDE, POWDER, BURNT, IMNAHA","HENRYS FORK, TETON, WILLOW, BLACKFOOT, PORTNEUF",IDAHO PANHANDLE REGION,KOOTENAI RIVER IN MONTANA,"LEWIS, COWLITZ",LOWER CLARK FORK RIVER BASIN,"LOWER COLUMBIA, HOOD RIVER",OWYHEE MALHEUR,"RAFT, GOOSE, SALMON FALLS, BRUNEAU",SNAKE ABOVE PALISADES,"UMATILLA, WALLA WALLA, WILLOW",UPPER CLARK FORK RIVER BASIN,"WEISER, PAYETTE, BOISE","WHITE, GREEN, CEDAR, SKYKOMISH, SNOQUALMI, BAKER, SKAGIT",WILLAMETTE,"YAKIMA, AHTANUM"
2011-02-10,46.1,-113.13333329999999,313,13C44S,Barker Lakes,8250,9.8,8.6,114.0,11.6,10.5,110.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2011-02-10,45.8,-112.51666670000002,315,12D09S,Basin Creek,7180,5.5,4.8,115.0,7.0,6.0,117.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2011-02-10,46.4166667,-113.43333329999999,349,13C13S,Black Pine,7210,10.4,6.7,155.0,11.8,9.1,130.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2011-02-10,46.466666700000005,-113.4,410,13C33S,Combination,5600,4.1,3.4,121.0,7.9,6.5,122.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2011-02-10,47.05,-112.6,413,12B16S,Copper Bottom,5200,6.2,14.0,101.0,12.9,11.7,110.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2011-02-10,47.0833333,-112.73333329999998,414,12B14S,Copper Camp,6950,40.4,14.0,101.0,22.6,23.0,98.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2011-02-10,46.8833333,-113.31666670000001,604,13C38S,Lubrecht Flume,4680,5.9,4.1,144.0,9.6,7.4,130.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2011-02-10,46.85,-112.5,903,12C22S,Nevada Ridge,7020,13.3,9.4,141.0,14.8,11.5,129.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2011-02-10,46.8666667,-113.28333329999998,657,13C31S,N Fk Elk Creek,6250,11.7,7.3,160.0,12.7,9.6,132.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2011-02-10,47.2666667,-113.75,667,13B07S,North Fork Jocko,6330,41.0,28.8,142.0,45.2,35.5,127.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2011-02-10,46.1333333,-113.3,930,13C36S,Peterson Meadows,7200,6.5,5.8,112.0,8.5,7.5,113.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2011-02-10,46.35,-112.26666670000002,722,12C11S,Rocker Peak,8000,11.2,8.7,129.0,11.1,9.1,122.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2011-02-10,46.25,-113.76666670000002,760,13C03S,Skalkaho Summit,7250,19.5,14.7,133.0,20.1,15.8,127.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2011-02-10,47.0,-113.93333329999999,901,13C01S,Stuart Mountain,7400,33.5,21.9,153.0,33.0,22.8,145.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2011-02-10,46.2666667,-113.16666670000001,850,13C43S,Warm Springs,7800,17.6,13.1,134.0,18.4,15.2,121.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2011-02-10,46.1833333,-113.85,433,13C39S,Daly Creek,5780,8.7,7.0,124.0,11.7,9.7,121.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-02-10,46.6333333,-114.58333329999999,588,14C05S,Lolo Pass,5240,23.2,19.3,120.0,28.2,24.5,115.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-02-10,45.6666667,-113.95,638,13D16S,Moose Creek,6200,15.6,11.9,131.0,18.4,14.5,127.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-02-10,45.7333333,-114.48333329999998,662,14D02S,Nez Perce Camp,5650,11.3,9.2,123.0,19.7,14.4,137.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-02-10,45.7,-113.96666670000002,727,13D22S,Saddle Mtn.,7940,21.6,16.6,130.0,19.9,16.3,122.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-02-10,46.25,-113.76666670000002,760,13C03S,Skalkaho Summit,7250,19.5,14.7,133.0,20.1,15.8,127.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-02-10,46.15,-114.45,835,14C13S,Twelvemile Creek,5600,12.7,11.9,107.0,27.5,22.9,120.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-02-10,46.15,-114.5,836,14C12S,Twin Lakes,6400,32.2,26.0,124.0,37.7,31.9,118.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-02-10,46.9833333,-115.03333329999998,530,15C10S,Hoodoo Basin,6050,33.1,27.3,121.0,37.2,33.4,111.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2011-02-10,47.533333299999995,-115.78333329999998,535,15B21S,Humboldt Gulch,4250,9.7,8.9,109.0,31.5,26.6,118.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2011-02-10,46.6333333,-114.58333329999999,588,14C05S,Lolo Pass,5240,23.2,19.3,120.0,28.2,24.5,115.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2011-02-10,47.45,-115.7,594,15B02S,Lookout,5190,21.3,20.0,106.0,29.9,28.9,103.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2011-02-10,48.1333333,-115.61666670000001,932,15A12S,Poorman Creek,5100,32.2,23.7,136.0,47.8,39.8,120.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2011-02-10,47.1833333,-114.33333329999999,783,14B05S,Sleeping Woman,6150,14.6,10.1,145.0,18.1,14.7,123.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2011-02-10,47.0,-113.93333329999999,901,13C01S,Stuart Mountain,7400,33.5,21.9,153.0,33.0,22.8,145.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2011-02-10,47.55,-115.81666670000001,803,15B09S,Sunset,5540,18.5,17.3,107.0,33.4,26.3,127.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2011-02-10,48.3,-116.06666670000001,323,16A08S,Bear Mountain,5400,37.4,38.6,97.0,54.2,49.5,109.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-02-10,48.6833333,-117.18333329999999,376,17A01S,Bunchgrass Mdw,5000,16.7,19.0,88.0,26.3,25.2,104.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-02-10,47.533333299999995,-115.78333329999998,535,15B21S,Humboldt Gulch,4250,9.7,8.9,109.0,31.5,26.6,118.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-02-10,47.45,-115.7,594,15B02S,Lookout,5190,21.3,20.0,106.0,29.9,28.9,103.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-02-10,47.0833333,-115.96666670000002,600,15B14S,Lost Lake,6110,38.5,39.9,96.0,48.9,41.9,117.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-02-10,47.15,-116.26666670000002,623,16B14S,Mica Creek,4510,15.5,17.6,88.0,36.5,30.6,119.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-02-10,48.05,-116.23333329999998,645,16A04S,Mosquito Ridge,5260,26.4,26.0,102.0,37.1,32.3,115.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-02-10,47.8833333,-117.08333329999999,707,17B04S,Quartz Peak,4700,17.0,15.6,109.0,30.8,24.3,127.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-02-10,48.3666667,-116.63333329999999,738,16A10S,Schweitzer Basin,6090,35.1,32.8,107.0,29.0,29.3,99.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-02-10,46.95,-116.33333329999999,752,16C01S,Sherwin,3200,8.5,8.3,102.0,23.9,21.0,114.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-02-10,47.55,-115.81666670000001,803,15B09S,Sunset,5540,18.5,17.3,107.0,33.4,26.3,127.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-02-10,48.6833333,-117.18333329999999,376,17A01S,Bunchgrass Mdw,5000,16.7,19.0,88.0,26.3,25.2,104.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-02-10,48.716666700000005,-120.66666670000001,515,20A05S,Harts Pass,6490,35.8,29.6,121.0,36.1,21.2,112.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-02-10,48.3666667,-119.08333329999999,644,19A13S,Moses Mtn,5010,8.7,10.6,82.0,10.4,13.1,79.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-02-10,48.65,-119.83333329999999,728,19A02S,Salmon Meadows,4460,6.9,6.9,100.0,9.3,10.1,92.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-02-10,47.35,-120.68333329999999,352,20B02S,Blewett Pass,4240,7.2,12.9,56.0,20.5,22.1,93.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-02-10,48.2,-120.91666670000001,606,20A23S,Lyman Lake,5980,37.9,43.0,88.0,44.8,46.7,96.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-02-10,42.0166667,-115.0,871,15G02S,Wilson Creek,7120,10.7,9.9,108.0,16.6,11.6,143.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-02-10,48.45,-120.91666670000001,681,20A12S,Park Creek Ridge,4600,25.5,33.0,77.0,44.4,43.4,102.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-02-10,47.9833333,-120.56666670000001,699,20B24S,Pope Ridge,3590,10.6,14.5,73.0,21.7,22.3,97.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-02-10,47.75,-121.1,791,21B01S,Stevens Pass,3950,19.1,29.6,65.0,56.3,55.1,102.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-02-10,47.2333333,-120.3,832,20B25S,Trough,5480,6.9,8.1,85.0,15.6,15.2,103.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-02-10,47.283333299999995,-120.36666670000001,841,20B07S,Upper Wheeler,4330,6.7,9.7,69.0,14.9,15.2,98.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-02-10,46.8166667,-121.33333329999999,375,21C38S,Bumping Ridge,4610,16.6,18.7,89.0,38.8,37.6,103.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2011-02-10,47.533333299999995,-121.08333329999999,478,21B04S,Fish Lake,3430,16.6,23.3,71.0,37.9,41.0,92.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2011-02-10,46.55,-121.16666670000001,502,21C10S,Green Lake,5920,12.5,16.0,78.0,19.3,21.5,90.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2011-02-10,47.283333299999995,-120.48333329999998,507,20B11S,Grouse Camp,5390,11.9,14.0,101.0,19.9,19.1,104.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2011-02-10,46.35,-121.08333329999999,599,21C39S,Lost Horse,5120,10.0,14.7,68.0,16.5,20.6,80.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2011-02-10,46.9,-121.48333329999998,642,21C17S,Morse Lake,5410,32.5,38.5,84.0,49.5,48.9,101.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2011-02-10,47.3833333,-121.06666670000001,734,21B51S,Sasse Ridge,4340,17.7,24.1,73.0,36.3,37.4,97.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2011-02-10,46.6333333,-121.38333329999999,863,21C28S,White Pass E.S.,4440,12.2,16.9,72.0,31.6,27.2,116.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2011-02-10,43.9333333,-110.45,314,10F02S,Base Camp,7060,14.6,11.5,127.0,17.5,14.9,117.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2011-02-10,42.966666700000005,-110.61666670000001,353,10G02S,Blind Bull Sum,8650,21.5,15.1,142.0,15.4,13.7,112.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2011-02-10,42.65,-110.81666670000001,419,10G25S,Cottonwood Creek,7670,19.3,13.8,140.0,26.2,16.9,155.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2011-02-10,43.1333333,-110.2,460,10F17S,East Rim Divide,7930,10.7,7.0,153.0,9.5,8.2,116.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2011-02-10,43.35,-110.43333329999999,497,10F29S,Granite Creek,6770,14.4,11.6,124.0,16.7,14.5,115.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2011-02-10,44.1333333,-110.83333329999999,499,10E15S,Grassy Lake,7265,25.3,22.2,114.0,28.2,25.6,110.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2011-02-10,43.3833333,-110.13333329999999,506,10F19S,Gros Ventre Summit,8750,11.2,8.7,129.0,11.2,8.7,129.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2011-02-10,44.216666700000005,-110.66666670000001,577,10E09S,Lewis Lake Divide,7850,24.5,21.8,112.0,25.1,24.8,101.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
